"DATA","ANNO","NOME_PROVINCIA","DECESSI"
"2015-01-13",15,"Monza e della Brianza",22
"2015-01-13",15,"Pavia",11
"2015-01-13",15,"Sondrio",5
"2015-01-13",15,"Varese",13
"2015-01-14",15,"Bergamo",30
"2015-01-14",15,"Brescia",28
"2015-01-14",15,"Como",10
"2015-01-14",15,"Cremona",8
"2015-01-14",15,"Lecco",8
"2015-01-14",15,"Lodi",3
"2015-01-14",15,"Mantova",12
"2015-01-14",15,"Milano",89
"2015-01-14",15,"Monza e della Brianza",17
"2015-01-14",15,"Pavia",16
"2015-01-14",15,"Sondrio",6
"2015-01-14",15,"Varese",15
"2015-01-15",15,"Bergamo",34
"2015-01-15",15,"Brescia",27
"2015-01-15",15,"Como",12
"2015-01-15",15,"Cremona",16
"2015-01-15",15,"Lecco",2
"2015-01-15",15,"Lodi",7
"2015-01-15",15,"Mantova",13
"2015-01-15",15,"Milano",84
"2015-01-15",15,"Monza e della Brianza",19
"2015-01-15",15,"Pavia",12
"2015-01-15",15,"Sondrio",5
"2015-01-15",15,"Varese",15
"2015-01-16",15,"Bergamo",32
"2015-01-16",15,"Brescia",26
"2015-01-16",15,"Como",11
"2015-01-16",15,"Cremona",17
"2015-01-16",15,"Lecco",7
"2015-01-16",15,"Lodi",3
"2015-01-16",15,"Mantova",10
"2015-01-16",15,"Milano",85
"2015-01-16",15,"Monza e della Brianza",27
"2015-01-16",15,"Pavia",12
"2015-01-16",15,"Sondrio",5
"2015-01-16",15,"Varese",16
"2015-01-17",15,"Bergamo",23
"2015-01-17",15,"Brescia",32
"2015-01-17",15,"Como",7
"2015-01-17",15,"Cremona",17
"2015-01-17",15,"Lecco",7
"2015-01-17",15,"Lodi",8
"2015-01-17",15,"Mantova",16
"2015-01-17",15,"Milano",81
"2015-01-17",15,"Monza e della Brianza",23
"2015-01-17",15,"Pavia",14
"2015-01-17",15,"Sondrio",4
"2015-01-17",15,"Varese",19
"2015-01-18",15,"Bergamo",21
"2015-01-18",15,"Brescia",23
"2015-01-18",15,"Como",11
"2015-01-18",15,"Cremona",17
"2015-01-18",15,"Lecco",8
"2015-01-18",15,"Lodi",5
"2015-01-18",15,"Mantova",12
"2015-01-18",15,"Milano",81
"2015-01-18",15,"Monza e della Brianza",17
"2015-01-18",15,"Pavia",12
"2015-01-18",15,"Sondrio",3
"2015-01-18",15,"Varese",16
"2015-01-19",15,"Bergamo",21
"2015-01-19",15,"Brescia",23
"2015-01-19",15,"Como",8
"2015-01-19",15,"Cremona",11
"2015-01-19",15,"Lecco",7
"2015-01-19",15,"Lodi",3
"2015-01-19",15,"Mantova",12
"2015-01-19",15,"Milano",79
"2015-01-19",15,"Monza e della Brianza",18
"2015-01-19",15,"Pavia",7
"2015-01-19",15,"Sondrio",7
"2015-01-19",15,"Varese",9
"2015-01-20",15,"Bergamo",23
"2015-01-20",15,"Brescia",34
"2015-01-20",15,"Como",15
"2015-01-20",15,"Cremona",9
"2015-01-20",15,"Lecco",8
"2015-01-20",15,"Lodi",14
"2015-01-20",15,"Mantova",10
"2015-01-20",15,"Milano",103
"2015-01-20",15,"Monza e della Brianza",12
"2015-01-20",15,"Pavia",12
"2015-01-20",15,"Sondrio",5
"2015-01-20",15,"Varese",10
"2015-01-21",15,"Bergamo",31
"2015-01-21",15,"Brescia",32
"2015-01-21",15,"Como",16
"2015-01-21",15,"Cremona",11
"2015-01-21",15,"Lecco",4
"2015-01-21",15,"Lodi",6
"2015-01-21",15,"Mantova",13
"2015-01-21",15,"Milano",97
"2015-01-21",15,"Monza e della Brianza",26
"2015-01-21",15,"Pavia",13
"2015-01-21",15,"Sondrio",2
"2015-01-21",15,"Varese",14
"2015-01-22",15,"Bergamo",28
"2015-01-22",15,"Brescia",22
"2015-01-22",15,"Como",10
"2015-01-22",15,"Cremona",20
"2015-01-22",15,"Lecco",9
"2015-01-22",15,"Lodi",7
"2015-01-22",15,"Mantova",7
"2015-01-22",15,"Milano",82
"2015-01-22",15,"Monza e della Brianza",24
"2015-01-22",15,"Pavia",15
"2015-01-22",15,"Sondrio",5
"2015-01-22",15,"Varese",11
"2015-01-23",15,"Bergamo",23
"2015-01-23",15,"Brescia",24
"2015-01-23",15,"Como",7
"2015-01-23",15,"Cremona",6
"2015-01-23",15,"Lecco",6
"2015-01-23",15,"Lodi",5
"2015-01-23",15,"Mantova",11
"2015-01-23",15,"Milano",89
"2015-01-23",15,"Monza e della Brianza",27
"2015-01-23",15,"Pavia",12
"2015-01-23",15,"Sondrio",4
"2015-01-23",15,"Varese",7
"2015-01-24",15,"Bergamo",29
"2015-01-24",15,"Brescia",36
"2015-01-24",15,"Como",17
"2015-01-24",15,"Cremona",12
"2015-01-24",15,"Lecco",4
"2015-01-24",15,"Lodi",1
"2015-01-24",15,"Mantova",9
"2015-01-24",15,"Milano",75
"2015-01-24",15,"Monza e della Brianza",20
"2015-01-24",15,"Pavia",12
"2015-01-24",15,"Sondrio",2
"2015-01-24",15,"Varese",10
"2015-01-25",15,"Bergamo",24
"2015-01-25",15,"Brescia",25
"2015-01-25",15,"Como",6
"2015-01-25",15,"Cremona",16
"2015-01-25",15,"Lecco",6
"2015-01-25",15,"Lodi",6
"2015-01-25",15,"Mantova",9
"2015-01-25",15,"Milano",90
"2015-01-25",15,"Monza e della Brianza",15
"2015-01-25",15,"Pavia",14
"2015-01-25",15,"Sondrio",4
"2015-01-25",15,"Varese",14
"2015-01-26",15,"Bergamo",29
"2015-01-26",15,"Brescia",30
"2015-01-26",15,"Como",8
"2015-01-26",15,"Cremona",9
"2015-01-26",15,"Lecco",8
"2015-01-26",15,"Lodi",2
"2015-01-26",15,"Mantova",13
"2015-01-26",15,"Milano",83
"2015-01-26",15,"Monza e della Brianza",21
"2015-01-26",15,"Pavia",10
"2015-01-26",15,"Sondrio",2
"2015-01-26",15,"Varese",14
"2015-01-27",15,"Bergamo",29
"2015-01-27",15,"Brescia",23
"2015-01-27",15,"Como",13
"2015-01-27",15,"Cremona",10
"2015-01-27",15,"Lecco",6
"2015-01-27",15,"Lodi",5
"2015-01-27",15,"Mantova",16
"2015-01-27",15,"Milano",87
"2015-01-27",15,"Monza e della Brianza",17
"2015-01-27",15,"Pavia",11
"2015-01-27",15,"Sondrio",5
"2015-01-27",15,"Varese",15
"2015-01-28",15,"Bergamo",23
"2015-01-28",15,"Brescia",36
"2015-01-28",15,"Como",13
"2015-01-28",15,"Cremona",11
"2015-01-28",15,"Lecco",9
"2015-01-28",15,"Lodi",2
"2015-01-28",15,"Mantova",18
"2015-01-28",15,"Milano",80
"2015-01-28",15,"Monza e della Brianza",18
"2015-01-28",15,"Pavia",12
"2015-01-28",15,"Sondrio",0
"2015-01-28",15,"Varese",14
"2015-01-29",15,"Bergamo",25
"2015-01-29",15,"Brescia",33
"2015-01-29",15,"Como",14
"2015-01-29",15,"Cremona",9
"2015-01-29",15,"Lecco",8
"2015-01-29",15,"Lodi",14
"2015-01-29",15,"Mantova",12
"2015-01-29",15,"Milano",84
"2015-01-29",15,"Monza e della Brianza",12
"2015-01-29",15,"Pavia",14
"2015-01-29",15,"Sondrio",3
"2015-01-29",15,"Varese",19
"2015-01-30",15,"Bergamo",28
"2015-01-30",15,"Brescia",29
"2015-01-30",15,"Como",15
"2015-01-30",15,"Cremona",9
"2015-01-30",15,"Lecco",6
"2015-01-30",15,"Lodi",5
"2015-01-30",15,"Mantova",12
"2015-01-30",15,"Milano",94
"2015-01-30",15,"Monza e della Brianza",15
"2015-01-30",15,"Pavia",13
"2015-01-30",15,"Sondrio",4
"2015-01-30",15,"Varese",10
"2015-01-31",15,"Bergamo",21
"2015-01-31",15,"Brescia",35
"2015-01-31",15,"Como",15
"2015-01-31",15,"Cremona",9
"2015-01-31",15,"Lecco",3
"2015-01-31",15,"Lodi",6
"2015-01-31",15,"Mantova",10
"2015-01-31",15,"Milano",89
"2015-01-31",15,"Monza e della Brianza",16
"2015-01-31",15,"Pavia",14
