"DATA","ANNO","NOME_PROVINCIA","DECESSI"
"2015-01-13",15,"Monza e della Brianza",12
"2015-01-13",15,"Pavia",22
"2015-01-13",15,"Sondrio",0
"2015-01-13",15,"Varese",8
"2015-01-14",15,"Bergamo",54
"2015-01-14",15,"Brescia",52
"2015-01-14",15,"Como",14
"2015-01-14",15,"Cremona",16
"2015-01-14",15,"Lecco",14
"2015-01-14",15,"Lodi",4
"2015-01-14",15,"Mantova",14
"2015-01-14",15,"Milano",162
"2015-01-14",15,"Monza e della Brianza",10
"2015-01-14",15,"Pavia",22
"2015-01-14",15,"Sondrio",2
"2015-01-14",15,"Varese",2
"2015-01-15",15,"Bergamo",64
"2015-01-15",15,"Brescia",46
"2015-01-15",15,"Como",10
"2015-01-15",15,"Cremona",30
"2015-01-15",15,"Lecco",4
"2015-01-15",15,"Lodi",14
"2015-01-15",15,"Mantova",22
"2015-01-15",15,"Milano",158
"2015-01-15",15,"Monza e della Brianza",20
"2015-01-15",15,"Pavia",18
"2015-01-15",15,"Sondrio",2
"2015-01-15",15,"Varese",6
"2015-01-16",15,"Bergamo",60
"2015-01-16",15,"Brescia",46
"2015-01-16",15,"Como",6
"2015-01-16",15,"Cremona",34
"2015-01-16",15,"Lecco",4
"2015-01-16",15,"Lodi",6
"2015-01-16",15,"Mantova",20
"2015-01-16",15,"Milano",164
"2015-01-16",15,"Monza e della Brianza",30
"2015-01-16",15,"Pavia",24
"2015-01-16",15,"Sondrio",4
"2015-01-16",15,"Varese",4
"2015-01-17",15,"Bergamo",46
"2015-01-17",15,"Brescia",50
"2015-01-17",15,"Como",6
"2015-01-17",15,"Cremona",32
"2015-01-17",15,"Lecco",4
"2015-01-17",15,"Lodi",16
"2015-01-17",15,"Mantova",24
"2015-01-17",15,"Milano",142
"2015-01-17",15,"Monza e della Brianza",20
"2015-01-17",15,"Pavia",20
"2015-01-17",15,"Sondrio",6
"2015-01-17",15,"Varese",6
"2015-01-18",15,"Bergamo",36
"2015-01-18",15,"Brescia",42
"2015-01-18",15,"Como",4
"2015-01-18",15,"Cremona",34
"2015-01-18",15,"Lecco",12
"2015-01-18",15,"Lodi",10
"2015-01-18",15,"Mantova",20
"2015-01-18",15,"Milano",138
"2015-01-18",15,"Monza e della Brianza",12
"2015-01-18",15,"Pavia",22
"2015-01-18",15,"Sondrio",2
"2015-01-18",15,"Varese",6
"2015-01-19",15,"Bergamo",40
"2015-01-19",15,"Brescia",44
"2015-01-19",15,"Como",12
"2015-01-19",15,"Cremona",20
"2015-01-19",15,"Lecco",10
"2015-01-19",15,"Lodi",6
"2015-01-19",15,"Mantova",20
"2015-01-19",15,"Milano",146
"2015-01-19",15,"Monza e della Brianza",14
"2015-01-19",15,"Pavia",10
"2015-01-19",15,"Sondrio",6
"2015-01-19",15,"Varese",4
"2015-01-20",15,"Bergamo",46
"2015-01-20",15,"Brescia",62
"2015-01-20",15,"Como",16
"2015-01-20",15,"Cremona",16
"2015-01-20",15,"Lecco",12
"2015-01-20",15,"Lodi",24
"2015-01-20",15,"Mantova",12
"2015-01-20",15,"Milano",188
"2015-01-20",15,"Monza e della Brianza",10
"2015-01-20",15,"Pavia",20
"2015-01-20",15,"Sondrio",4
"2015-01-20",15,"Varese",6
"2015-01-21",15,"Bergamo",60
"2015-01-21",15,"Brescia",50
"2015-01-21",15,"Como",14
"2015-01-21",15,"Cremona",22
"2015-01-21",15,"Lecco",2
"2015-01-21",15,"Lodi",10
"2015-01-21",15,"Mantova",24
"2015-01-21",15,"Milano",180
"2015-01-21",15,"Monza e della Brianza",18
"2015-01-21",15,"Pavia",22
"2015-01-21",15,"Sondrio",2
"2015-01-21",15,"Varese",14
"2015-01-22",15,"Bergamo",56
"2015-01-22",15,"Brescia",42
"2015-01-22",15,"Como",12
"2015-01-22",15,"Cremona",34
"2015-01-22",15,"Lecco",8
"2015-01-22",15,"Lodi",12
"2015-01-22",15,"Mantova",14
"2015-01-22",15,"Milano",148
"2015-01-22",15,"Monza e della Brianza",16
"2015-01-22",15,"Pavia",20
"2015-01-22",15,"Sondrio",2
"2015-01-22",15,"Varese",4
"2015-01-23",15,"Bergamo",44
"2015-01-23",15,"Brescia",44
"2015-01-23",15,"Como",6
"2015-01-23",15,"Cremona",12
"2015-01-23",15,"Lecco",4
"2015-01-23",15,"Lodi",8
"2015-01-23",15,"Mantova",20
"2015-01-23",15,"Milano",162
"2015-01-23",15,"Monza e della Brianza",20
"2015-01-23",15,"Pavia",22
"2015-01-23",15,"Sondrio",2
"2015-01-23",15,"Varese",2
"2015-01-24",15,"Bergamo",58
"2015-01-24",15,"Brescia",66
"2015-01-24",15,"Como",20
"2015-01-24",15,"Cremona",22
"2015-01-24",15,"Lecco",4
"2015-01-24",15,"Lodi",2
"2015-01-24",15,"Mantova",16
"2015-01-24",15,"Milano",134
"2015-01-24",15,"Monza e della Brianza",18
"2015-01-24",15,"Pavia",20
"2015-01-24",15,"Sondrio",2
"2015-01-24",15,"Varese",10
"2015-01-25",15,"Bergamo",48
"2015-01-25",15,"Brescia",42
"2015-01-25",15,"Como",10
"2015-01-25",15,"Cremona",28
"2015-01-25",15,"Lecco",4
"2015-01-25",15,"Lodi",6
"2015-01-25",15,"Mantova",16
"2015-01-25",15,"Milano",156
"2015-01-25",15,"Monza e della Brianza",14
"2015-01-25",15,"Pavia",20
"2015-01-25",15,"Sondrio",4
"2015-01-25",15,"Varese",4
"2015-01-26",15,"Bergamo",54
"2015-01-26",15,"Brescia",56
"2015-01-26",15,"Como",10
"2015-01-26",15,"Cremona",16
"2015-01-26",15,"Lecco",6
"2015-01-26",15,"Lodi",4
"2015-01-26",15,"Mantova",22
"2015-01-26",15,"Milano",146
"2015-01-26",15,"Monza e della Brianza",10
"2015-01-26",15,"Pavia",18
"2015-01-26",15,"Sondrio",2
"2015-01-26",15,"Varese",6
"2015-01-27",15,"Bergamo",54
"2015-01-27",15,"Brescia",46
"2015-01-27",15,"Como",14
"2015-01-27",15,"Cremona",20
"2015-01-27",15,"Lecco",2
"2015-01-27",15,"Lodi",10
"2015-01-27",15,"Mantova",30
"2015-01-27",15,"Milano",154
"2015-01-27",15,"Monza e della Brianza",8
"2015-01-27",15,"Pavia",20
